daily_views,date
3413,2008-01-01
5395,2008-01-02
5940,2008-01-03
5833,2008-01-04
4611,2008-01-05
5066,2008-01-06
6660,2008-01-07
6923,2008-01-08
7150,2008-01-09
7428,2008-01-10
6619,2008-01-11
4754,2008-01-12
5525,2008-01-13
7577,2008-01-14
7517,2008-01-15
7381,2008-01-16
7239,2008-01-17
6553,2008-01-18
4881,2008-01-19
5258,2008-01-20
6614,2008-01-21
7588,2008-01-22
7726,2008-01-23
7522,2008-01-24
6752,2008-01-25
4794,2008-01-26
5247,2008-01-27
7584,2008-01-28
7546,2008-01-29
7201,2008-01-30
6397,2008-02-01
4561,2008-02-02
5123,2008-02-03
7194,2008-02-04
7443,2008-02-05
7515,2008-02-06
7472,2008-02-07
6830,2008-02-08
5144,2008-02-09
5277,2008-02-10
7521,2008-02-11
10181,2008-02-12
7855,2008-02-13
7135,2008-02-14
6322,2008-02-15
4702,2008-02-16
5252,2008-02-17
7837,2008-02-18
9410,2008-02-19
7925,2008-02-20
7990,2008-02-21
6946,2008-02-22
5107,2008-02-23
5923,2008-02-24
8571,2008-02-25
9556,2008-02-26
8776,2008-02-27
0,2008-02-28
7317,2008-02-29
0,2008-02-30
0,2008-02-31
0,2008-03-01
5997,2008-03-02
0,2008-03-03
0,2008-03-04
9260,2008-03-05
11265,2008-03-06
8751,2008-03-07
5889,2008-03-08
6746,2008-03-09
9103,2008-03-10
8884,2008-03-11
8614,2008-03-12
8645,2008-03-13
7433,2008-03-14
5235,2008-03-15
5982,2008-03-16
8704,2008-03-17
8018,2008-03-18
8332,2008-03-19
7491,2008-03-20
5605,2008-03-21
4735,2008-03-22
5110,2008-03-23
7515,2008-03-24
8154,2008-03-25
8135,2008-03-26
8412,2008-03-27
8787,2008-03-28
5636,2008-03-29
5882,2008-03-30
8664,2008-03-31
8967,2008-04-01
8844,2008-04-02
8720,2008-04-03
7334,2008-04-04
5304,2008-04-05
5711,2008-04-06
8570,2008-04-07
8660,2008-04-08
8592,2008-04-09
8964,2008-04-10
7832,2008-04-11
5374,2008-04-12
6238,2008-04-13
9151,2008-04-14
9340,2008-04-15
9185,2008-04-16
9130,2008-04-17
7737,2008-04-18
5601,2008-04-19
6306,2008-04-20
9453,2008-04-21
9046,2008-04-22
8906,2008-04-23
8599,2008-04-24
7380,2008-04-25
5533,2008-04-26
6276,2008-04-27
9248,2008-04-28
9120,2008-04-29
9857,2008-04-30
0,2008-04-31
8503,2008-05-01
7920,2008-05-02
5319,2008-05-03
6362,2008-05-04
8671,2008-05-05
9234,2008-05-06
8884,2008-05-07
8869,2008-05-08
8183,2008-05-09
5392,2008-05-10
6441,2008-05-11
8644,2008-05-12
9134,2008-05-13
8479,2008-05-14
8959,2008-05-15
7658,2008-05-16
5609,2008-05-17
6043,2008-05-18
8669,2008-05-19
13605,2008-05-20
11443,2008-05-21
9050,2008-05-22
7227,2008-05-23
5275,2008-05-24
5615,2008-05-25
7028,2008-05-26
9475,2008-05-27
9061,2008-05-28
8634,2008-05-29
7394,2008-05-30
5375,2008-05-31
0,2008-06-01
0,2008-06-02
9766,2008-06-03
9283,2008-06-04
8248,2008-06-05
8054,2008-06-06
6748,2008-06-07
5380,2008-06-08
5926,2008-06-09
8108,2008-06-10
8511,2008-06-11
7928,2008-06-12
7912,2008-06-13
6829,2008-06-14
5204,2008-06-15
5334,2008-06-16
8326,2008-06-17
7916,2008-06-18
7829,2008-06-19
8099,2008-06-20
6902,2008-06-21
5256,2008-06-22
5413,2008-06-23
7672,2008-06-24
7766,2008-06-25
7521,2008-06-26
7224,2008-06-27
6515,2008-06-28
4986,2008-06-29
5391,2008-06-30
7602,2008-06-31
7459,2008-07-02
6844,2008-07-03
5814,2008-07-04
4843,2008-07-05
5031,2008-07-06
6882,2008-07-07
6996,2008-07-08
6739,2008-07-09
6598,2008-07-10
5818,2008-07-11
5492,2008-07-12
5875,2008-08-01
4950,2008-08-02
5114,2008-08-03
