url,summary,summary_toke,assignments
http://www.indeed.com/viewjob?jk=39d3a69c82b5d914&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Actively contribute to the multidisciplinary team's meetings by providing insights as to how we should frame the problems we are trying to solve and which techniques we should use to solve them.
 Assist with data collection, cleaning, visualization, model building, training, testing, and presentation.
 Consult with product teams to assist them with implementation of recommended data-driven solutions.
 Keep informed of cutting-edge machine learning/big data methods and techniques.
 Bachelor's degree or higher in Computer Science, Mathematics, Engineering with at least 1 year Data Science work experience.
 Expertise in many of the following:
 Data Science & Machine Learning Methodologies
 Data Analysis & Programming (SQL, Splunk, Hadoop, Java)
 Statistical/Mathematical Programming (MATLAB, R, Scala, python)
 Statistics and Mathematical Modelling
 Data Visualization
 Ability to learn quickly in a fast-paced, dynamic team environment
 Highly effective communication and collaboration skills
",activ contribut the multidisciplinari team meet provid insight how should frame the problem are tri solv and which techniqu should use solv them assist with data collect clean visual model build train test and present consult with product team assist them with implement recommend data-driven solut keep inform cutting-edg machin learning/big data method and techniqu bachelor degre higher comput scienc mathemat engin with least year data scienc work experi expertis mani the follow data scienc machin learn methodolog data analysi program sql splunk hadoop java statistical/mathemat program matlab scala python statist and mathemat model data visual abil learn quick fast-pac dynam team environ high effect communic and collabor skill,2
http://www.indeed.com/viewjob?jk=e007b0ecfad04249&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Actively contribute to the multidisciplinary team's meetings by providing insights as to how we should frame the problems we are trying to solve and which techniques we should use to solve them.
 Assist with data collection, cleaning, visualization, model building, training, testing, and presentation.
 Consult with product teams to assist them with implementation of recommended data-driven solutions.
 Keep informed of cutting-edge machine learning/big data methods and techniques.  Master's degree or PhD in Computer Science, Mathematics, Engineering with at least 5 years of Data Science work experience.
 Expertise in many of the following:
 Data Science & Machine Learning Methodologies
 Data Analysis & Programming (SQL, Splunk, Hadoop, Java)
 Statistical/Mathematical Programming (MATLAB, R, Scala, python)
 Statistics and Mathematical Modelling
 Data Visualization
 Ability to learn quickly in a fast-paced, dynamic team environment
 Highly effective communication and collaboration skills ",activ contribut the multidisciplinari team meet provid insight how should frame the problem are tri solv and which techniqu should use solv them assist with data collect clean visual model build train test and present consult with product team assist them with implement recommend data-driven solut keep inform cutting-edg machin learning/big data method and techniqu master degre phd comput scienc mathemat engin with least year data scienc work experi expertis mani the follow data scienc machin learn methodolog data analysi program sql splunk hadoop java statistical/mathemat program matlab scala python statist and mathemat model data visual abil learn quick fast-pac dynam team environ high effect communic and collabor skill,2
http://www.indeed.com/viewjob?jk=c29396d1b9f17c78&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Actively contribute to the multidisciplinary teams meetings by providing insights as to how we should frame the problems we are trying to solve and which techniques we should use to solve them.
 Assist with data collection, cleaning, visualization, model building, training, testing, and presentation.
 Consult with product teams to assist them with implementation of recommended data-driven solutions.
 Keep informed of cutting-edge machine learning/big data methods and techniques.
 Masters degree or PhD in Computer Science, Mathematics, Engineering with at least 5 years of Data Science work experience.
 Expertise in many of the following:
 Data Science & Machine Learning Methodologies
 Data Analysis & Programming (SQL, Splunk, Hadoop, Java)
 Statistical/Mathematical Programming (MATLAB, R, Scala, python)
 Statistics and Mathematical Modelling
 Data Visualization
 Ability to learn quickly in a fast-paced, dynamic team environment
 Highly effective communication and collaboration skills
",activ contribut the multidisciplinari team meet provid insight how should frame the problem are tri solv and which techniqu should use solv them assist with data collect clean visual model build train test and present consult with product team assist them with implement recommend data-driven solut keep inform cutting-edg machin learning/big data method and techniqu master degre phd comput scienc mathemat engin with least year data scienc work experi expertis mani the follow data scienc machin learn methodolog data analysi program sql splunk hadoop java statistical/mathemat program matlab scala python statist and mathemat model data visual abil learn quick fast-pac dynam team environ high effect communic and collabor skill,2
http://www.indeed.com/viewjob?jk=46e734082304a6ef&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Partner with Squares business teams to identify, prioritize, and build the most important data science projects
 Drive cross functional data science projects from beginning to end: build relationships with partner teams, frame and structure questions, collect and analyze data, build out data science pipelines and models, as well as summarize and present key insights in support of decision making
 Work with engineers to coordinate supporting data and product infrastructure
 Collaborate with business leaders, subject matter experts, and decision makers to develop success criteria and optimize new products, features, policies, and models
 Leverage your experience in analytics tools and scientific rigor to produce actionable insights
 Communicate key results to senior management in verbal, visual, and written media  An advanced degree (M.S., PhD.), preferably in Statistics, Computer Science, Physical Sciences, Economics, or a related technical field
 A strong track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.) and SQL
 Familiarity with Linux/OS X command line, version control software (git), and general software development
 Experience using statistics and machine learning to solve complex business problems
 The versatility and willingness to learn new technologies on the job
 The ability to clearly communicate complex results to technical and non-technical audiences
",partner with squar busi team identifi priorit and build the most import data scienc project drive cross function data scienc project from begin end build relationship with partner team frame and structur question collect and analyz data build out data scienc pipelin and model well summar and present key insight support decis make work with engin coordin support data and product infrastructur collabor with busi leader subject matter expert and decis maker develop success criteria and optim new product featur polici and model leverag your experi analyt tool and scientif rigor produc action insight communic key result senior manag verbal visual and written media advanc degre m.s. phd prefer statist comput scienc physic scienc econom relat technic field strong track record perform data analysi use python numpi panda scikit-learn etc and sql familiar with linux/o command line version control softwar git and general softwar develop experi use statist and machin learn solv complex busi problem the versatil and willing learn new technolog the job the abil clear communic complex result technic and non-techn audienc,2
http://www.indeed.com/viewjob?jk=cb8a8ced81037845&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Actively contribute to the multidisciplinary teams meetings by providing insights as to how we should frame the problems we are trying to solve and which techniques we should use to solve them.
 Assist with data collection, cleaning, visualization, model building, training, testing, and presentation.
 Consult with product teams to assist them with implementation of recommended data-driven solutions.
 Keep informed of cutting-edge machine learning/big data methods and techniques.
 Bachelors degree or higher in Computer Science, Mathematics, Engineering with at least 1 year Data Science work experience.
 Expertise in many of the following:
 Data Science & Machine Learning Methodologies
 Data Analysis & Programming (SQL, Splunk, Hadoop, Java)
 Statistical/Mathematical Programming (MATLAB, R, Scala, python)
 Statistics and Mathematical Modelling
 Data Visualization
 Ability to learn quickly in a fast-paced, dynamic team environment
 Highly effective communication and collaboration skills
",activ contribut the multidisciplinari team meet provid insight how should frame the problem are tri solv and which techniqu should use solv them assist with data collect clean visual model build train test and present consult with product team assist them with implement recommend data-driven solut keep inform cutting-edg machin learning/big data method and techniqu bachelor degre higher comput scienc mathemat engin with least year data scienc work experi expertis mani the follow data scienc machin learn methodolog data analysi program sql splunk hadoop java statistical/mathemat program matlab scala python statist and mathemat model data visual abil learn quick fast-pac dynam team environ high effect communic and collabor skill,2
http://www.indeed.com/viewjob?jk=abdda1fff1ce75a6&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Collaborate closely with business partners to identify strategic opportunities for applying innovative algorithms to help: Developers/Publishers to maximize monetization and engagement of their users, and enable all participants in the marketplace to operate efficiently Advertisers to optimize the ROI of their advertising campaigns. Analyze Data to identify useful relations, patterns and features that are predictive of user behaviors, preferences, intents, interests etc. Continuously identify and explore new and unconventional data sources. Apply advanced statistical, machine learning, and other types of analytical techniques to audience analytics to improve inventory forecasting, audience segmentation, and audience extension. Design, develop, and implement statistical and machine learning models to predict competitive bidding landscape, click through rate, conversion/action rate, ad relevance to user, supply and demand risks, etc. Abstract the objectives and constraints of critical business decisions for advertisers and publishers, and formulate them in the form of mathematical optimization problems. Help develop advanced self-learning algorithms and experiment design methodologies to solve them. Develop innovative techniques to collect performance data and measure the impact of online advertising. Design effective experiments to continuously explore the efficiency frontier of advertising performance. Work with engineering and operations teams to build systems and operational capabilities for implementing models and algorithms, and monitoring and evaluating their health and effectiveness in production. Support product and sales teams in taking new advertising products and offerings to the market by demonstrating their superior algorithmic capabilities and business performances through case studies, POC etc. Stay abreast of industry best practices and academic research trends. MS in Computer Science, Electrical Engineering, Statistics, Math, Physics, Economics (PhD preferred). Minimum 2 years experience in research or data analytics Proficient in at least one: C/C++, Python, matlab, Scala or Java. Familiarity with object-oriented programming paradigm. Evaluating computational complexity with emphasis on the design of efficient algorithms. Strong SQL skills. Familiarity with Hadoop ecosystem and Spark is a plus. Strong background in statistics and probability. Solid knowledge of machine learning models beyond standard packages, which includes and not limited to intuition, assumption, and performance of models. Familiarity with building and maintaining a machine learning pipeline in production environment. Expert in designing offline evaluation experiments along with A/B testing in live production systems. Skilled in interpersonal communication and relationship. Ability to explain complex analytical concepts to non-experts. We have a fun, entrepreneurial culture and strive to provide awesome benefits that reflect our premier status accordingly. Bring your dog(s) to work. Laugh and have fun with a company full of cool people making crazy things happen. Ability to play games and sports from ping pong to league dodgeball. Invent and print anything you can imagine on our 3D printer. Expenses paid such as gym, transportation, etc. Matching 401K. Great Health care, Vision, and Dental plans. Did we mention that were backed by Google Ventures, AOL Ventures, and 500 Startups?",collabor close with busi partner identifi strateg opportun for appli innov algorithm help developers/publish maxim monet and engag their user and enabl all particip the marketplac oper effici advertis optim the roi their advertis campaign analyz data identifi use relat pattern and featur that are predict user behavior prefer intent interest etc continu identifi and explor new and unconvent data sourc appli advanc statist machin learn and other type analyt techniqu audienc analyt improv inventori forecast audienc segment and audienc extens design develop and implement statist and machin learn model predict competit bid landscap click through rate conversion/act rate relev user suppli and demand risk etc abstract the object and constraint critic busi decis for advertis and publish and formul them the form mathemat optim problem help develop advanc self-learn algorithm and experi design methodolog solv them develop innov techniqu collect perform data and measur the impact onlin advertis design effect experi continu explor the effici frontier advertis perform work with engin and oper team build system and oper capabl for implement model and algorithm and monitor and evalu their health and effect product support product and sale team take new advertis product and offer the market demonstr their superior algorithm capabl and busi perform through case studi poc etc stay abreast industri best practic and academ research trend comput scienc electr engin statist math physic econom phd prefer minimum year experi research data analyt profici least one c/c++ python matlab scala java familiar with object-ori program paradigm evalu comput complex with emphasi the design effici algorithm strong sql skill familiar with hadoop ecosystem and spark plus strong background statist and probabl solid knowledg machin learn model beyond standard packag which includ and not limit intuit assumpt and perform model familiar with build and maintain machin learn pipelin product environ expert design offlin evalu experi along with a/b test live product system skill interperson communic and relationship abil explain complex analyt concept non-expert have fun entrepreneuri cultur and strive provid awesom benefit that reflect our premier status accord bring your dog work laugh and have fun with compani full cool peopl make crazi thing happen abil play game and sport from ping pong leagu dodgebal invent and print anyth you can imagin our printer expens paid such gym transport etc match 401k great health care vision and dental plan did mention that were back googl ventur aol ventur and 500 startup,0
http://www.indeed.com/viewjob?jk=ec894b430e680842&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Extract and analyze our data to better understand our fans.
 Work with various teams to identify business opportunities in: Ticketing, Stadium Operations, F&B; concessions, Retail, Loyalty, and our mobile app.
 Design and analyze experiments to drive efficiency in our Marketing and CRM efforts.
 Expertise in applied statistics, including regression models.
 Able to translate business objectives into actionable analysis.
 Able to communicate findings clearly to both technical and non-technical audiences.
 Expertise in at least on statistical software package (R, SAS).
 Expertise in at least one scripting language (PHP, Python, Perl, etc.).
 Proficiency in SQL.
 BA/BS in Math, Statistics, Economics, Computer Science, or other quantitative field. Advanced degrees preferred but not required.",extract and analyz our data better understand our fan work with various team identifi busi opportun ticket stadium oper concess retail loyalti and our mobil app design and analyz experi drive effici our market and crm effort expertis appli statist includ regress model abl translat busi object into action analysi abl communic find clear both technic and non-techn audienc expertis least statist softwar packag sas expertis least one script languag php python perl etc. profici sql ba/b math statist econom comput scienc other quantit field advanc degre prefer but not requir,2
http://www.indeed.com/viewjob?jk=61d6e2006365691a&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Proven technical background as a data scientist or a PhD in a quantitative field Ability to write clean and concise code Solid understanding of statistics and data science methods Intuition for data science best practices, stemming from proven experience Deep domain knowledge in at least one business area and experience with large scale data sets Excellent communicator who inspires action through data storytelling, enhanced with strong, clear visualizations and communicating technical results to a nontechnical audience Intense intellectual curiosity -- strong desire to always be learning Analytical, creative and innovative approach to solving difficult problem Competitive Salary: $250k, DOE Comprehensive Health Benefits Package 401k Fast Paced, long term growth Options Paid vacation Competitive bonus and raise structure Paid Parking Onsite Meals Input in company operations from day one Professional expierence as a data scientist: 5 years",proven technic background data scientist phd quantit field abil write clean and concis code solid understand statist and data scienc method intuit for data scienc best practic stem from proven experi deep domain knowledg least one busi area and experi with larg scale data set excel communic who inspir action through data storytel enhanc with strong clear visual and communic technic result nontechn audienc intens intellectu curios strong desir alway learn analyt creativ and innov approach solv difficult problem competit salari 250k doe comprehens health benefit packag 401k fast pace long term growth option paid vacat competit bonus and rais structur paid park onsit meal input compani oper from day one profession expier data scientist year,2
http://www.indeed.com/viewjob?jk=c91a344d69460c3c&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Python, Java or R: 3 years Bachelor's",python java year bachelor,2
http://www.indeed.com/viewjob?jk=3b26065e18cc1f82&qd=fhAMXzc2yJWlCKOn1GjS8Iam1JbkCyz7seT6sktiBgemRt9x-m9knPOl6Buf0HTgj2ed34MARp0cAO54Bh0eEPzSJVdJ-To598WhOo2QaPQkt0LCVy_rQinuMfW47e_m&indpubnum=2818745629107228&chnl=scraper&atk=1a3f0g72jb0b6d04,"Work with large amounts of data to identify opportunities that would help improve the experience that Zynga provides to the users
 Apply predictive modeling and Data Mining techniques for a variety of user modeling tasks within Zyngas Game Network
 Work closely with game teams to design, test, verify and implement statistical models with Zyngas games that impact the daily life of millions of users
 Design and evaluate novel approaches to experiments for gameplay
 BA in Computer Science, Math, Statistics, Economics, or other quantitative field; Masters or PhD strongly preferred
 3-5 years of work experience in data science or analytics roles
 Experience with some or all of the following: data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling
 Fluent in SQL
 Fluent in some or all of the following: SAS, STATA, R, Python, Weka
 Experience working with large datasets, preferably in a Hadoop environment
 Ability to work independently to get an idea from inception to implementation, including knowledge of techniques for validation and testing
 Strong written and oral communication skills
 Ability to work effectively in a fast-paced environment with changing priorities
 Ability to collaborate effectively with engineers, product managers, analysts, business, and marketing functions
 Strong business acumen",work with larg amount data identifi opportun that would help improv the experi that zynga provid the user appli predict model and data mine techniqu for varieti user model task within zynga game network work close with game team design test verifi and implement statist model with zynga game that impact the daili life million user design and evalu novel approach experi for gameplay comput scienc math statist econom other quantit field master phd strong prefer 3-5 year work experi data scienc analyt role experi with some all the follow data mine predict model statist experiment design comput analyt econometr model fluent sql fluent some all the follow sas stata python weka experi work with larg dataset prefer hadoop environ abil work independ get idea from incept implement includ knowledg techniqu for valid and test strong written and oral communic skill abil work effect fast-pac environ with chang prioriti abil collabor effect with engin product manag analyst busi and market function strong busi acumen,0
