cts,category
15235,
3002,module
2266,kernel
1534,types
1327,init
319,delay
318,errno
259,fs
245,sched
241,mm
209,interrupt
207,device
196,compiler
187,pci
156,slab
150,list
132,platform_device
131,string
122,spinlock
104,time
96,stddef
87,io
86,err
83,netdevice
79,i2c
74,capability
65,clk
61,bitops
61,skbuff
57,linkage
54,irq
54,blkdev
48,mutex
45,usb
44,fb
43,buffer_head
40,threads
40,ioport
38,ctype
38,version
37,compat
34,if_ether
34,pagemap
34,kvm_host
33,signal
32,wait
32,workqueue
32,completion
31,vmalloc
30,jiffies
30,ioctl
29,percpu
29,timer
28,seq_file
28,console
27,in
27,cpumask
27,videodev2
26,input
25,etherdevice
25,oprofile
25,bug
25,firmware
24,crypto
24,thread_info
24,const
23,cpu
21,bootmem
21,stringify
21,ptrace
20,proc_fs
20,cache
20,posix_types
19,debugfs
19,in6
19,clocksource
19,gpio
19,acpi
18,wireless
18,scatterlist
18,serial_reg
18,sysdev
18,kthread
17,highmem
17,serial
17,clockchips
17,bcd
17,tty
17,smp_lock
16,crc32
15,if
15,if_arp
15,moduleloader
15,unistd
15,netlink
14,dmaengine
14,moduleparam
14,tracepoint
14,kobject
14,socket
14,kallsyms
14,uaccess
13,futex
13,smp
13,gfp
13,file
13,poll
13,config
12,net
12,rtc
12,suspend
12,rwsem
12,bio
12,dcache
11,ip
11,dccp
11,hardirq
11,param
11,notifier
11,of
10,sysctl
10,irqflags
10,syscalls
10,elf
10,kref
10,bitrev
9,ieee80211
9,rbtree
9,sockios
8,kmod
8,netfilter
8,atm
8,miscdevice
8,mmzone
8,leds
8,kprobes
8,cpufreq
8,atmapi
8,mISDNif
7,personality
7,kernel_stat
7,numa
7,random
7,serial_core
7,rcupdate
7,xattr
7,major
7,hdreg
7,isdn
6,mman
6,bitmap
6,dmi
6,pfn
6,kmemcheck
6,swap
6,hrtimer
6,zutil
6,namei
5,if_vlan
5,ktime
5,limits
5,uio
5,timex
5,user
5,kexec
5,perf_event
5,efi
5,mm_types
5,pm
5,cdev
5,mod_devicetable
5,autoconf
5,preempt
5,ring_buffer
5,key
5,fcntl
5,pkt_cls
5,videodev
5,transport_class
5,phy
5,posix_acl_xattr
5,cdrom
4,tcp
4,ipv6
4,atmdev
4,wimax
4,spinlock_types
4,eisa
4,genhd
4,irqreturn
4,magic
4,kgdb
4,ftrace
4,utsname
4,of_device
4,dw_dmac
4,posix_acl
4,ipc
4,hid
4,mount
4,reiserfs_fs
