"path","nlines","ext"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/zlib.c","378","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/hmac.c","274","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/.gitignore","77","gitignore"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/Makefile","1598","NONE"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/rmd320.c","396","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/twofish.c","214","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/md4.c","257","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/anubis.c","707","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/aead.c","506","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/cast5.c","835","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/crc32c.c","260","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/ripemd.h","43","h"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/proc.c","167","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/Makefile","92","NONE"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/khazad.c","883","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/michael_mic.c","186","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/lrw.c","314","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/cts.c","353","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/rmd128.c","328","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/xor.c","160","c"
"/mnt/Misc/git/Python2.7/DataScience/notebooks/command_line/linux-2.6.32.67/crypto/twofish_common.c","708","c"
