kah,mar_auto,mob_mar_aut,month,Spittoono,Weightlifting_at_the_2004_Summer_Olympics_–_Men's_69_kg,Florian_Latorre,Cauffry,Labour_for_Independence,Jude_Dibia,1947_Arkansas_Razorbacks_football_team,Anikey_Stroganov,Umberto_Tirelli,Tylotiella_basipunctata,The_Zero_Hour_(1939_film),John_Ibrahim_(footballer),Iwate_Nippo,Spencer_Frankl,Sign_name,"List_of_listed_buildings_in_South_Knapdale,_Argyll_and_Bute",WKAK,Municipal_Golf_Course,Sandra_Pisani,Padma_Samten
0,13,0,201101,3,4,0,0,0,3,0,7,2,0,1,0,2,0,19,0,2,0,1,0
0,11,0,201101,5,4,0,1,0,6,0,8,2,0,0,0,5,0,18,0,3,0,0,0
0,45,0,201101,2,1,0,1,0,11,0,6,2,2,2,0,1,0,23,0,5,0,0,0
0,50,0,201101,1,2,0,2,0,4,1,9,1,2,1,0,3,0,19,0,3,0,0,0
0,53,0,201101,4,4,0,3,0,6,2,5,4,2,1,0,1,0,25,0,2,0,0,0
0,63,0,201101,3,3,0,2,0,7,0,8,4,0,2,0,1,0,37,0,3,0,0,0
0,45,0,201101,4,3,0,0,0,5,3,4,4,3,1,0,3,0,35,0,4,0,0,0
0,13,0,201101,3,3,0,4,0,5,0,7,0,3,2,0,7,0,28,0,13,0,0,0
0,22,0,201101,3,4,0,4,0,4,0,7,2,3,2,0,3,0,22,0,5,0,0,0
0,47,0,201101,6,5,0,3,0,9,1,5,4,0,0,0,5,0,32,0,7,0,0,0
0,102,0,201101,5,12,0,8,0,10,1,9,3,0,1,0,4,0,52,0,7,0,1,0
0,85,0,201101,3,3,0,9,0,4,0,12,0,1,6,0,6,0,43,0,7,0,0,0
0,32,0,201101,3,7,0,11,0,8,0,9,2,1,4,0,2,0,51,0,7,0,0,0
0,48,0,201101,8,12,0,7,0,7,0,4,4,0,2,0,2,0,50,0,9,0,1,0
0,14,0,201101,2,5,0,10,0,2,0,6,5,0,3,0,3,0,29,0,5,0,0,0
0,19,0,201101,7,9,0,4,0,11,1,6,6,0,0,0,4,0,35,0,7,0,0,0
0,51,0,201101,11,4,0,4,0,15,0,10,4,0,3,0,2,0,36,0,8,0,0,0
