,daily_views
2008-01-01,237
2008-01-02,323
2008-01-03,308
2008-01-04,298
2008-01-05,262
2008-01-06,247
2008-01-07,310
2008-01-08,334
2008-01-09,317
2008-01-10,340
2008-01-11,335
2008-01-12,286
2008-01-13,260
2008-01-14,349
2008-01-15,356
2008-01-16,355
2008-01-17,336
2008-01-18,353
2008-01-19,286
2008-01-20,259
2008-01-21,335
2008-01-22,329
2008-01-23,337
2008-01-24,335
2008-01-25,312
2008-01-26,275
2008-01-27,277
2008-01-28,367
2008-01-29,337
2008-01-30,346
2008-02-01,315
2008-02-02,251
2008-02-03,256
2008-02-04,348
2008-02-05,331
2008-02-06,327
2008-02-07,329
2008-02-08,291
2008-02-09,257
2008-02-10,277
2008-02-11,328
2008-02-12,353
2008-02-13,346
2008-02-14,359
2008-02-15,329
2008-02-16,282
2008-02-17,271
2008-02-18,327
2008-02-19,344
2008-02-20,346
2008-02-21,344
2008-02-22,324
2008-02-23,283
2008-02-24,288
2008-02-25,368
2008-02-26,355
2008-02-27,351
2008-02-28,186
2008-02-29,356
2008-02-30,186
2008-02-31,186
2008-03-01,186
2008-03-02,288
2008-03-03,185
2008-03-04,185
2008-03-05,382
2008-03-06,491
2008-03-07,368
2008-03-08,292
2008-03-09,285
2008-03-10,367
2008-03-11,381
2008-03-12,385
2008-03-13,365
2008-03-14,362
2008-03-15,286
2008-03-16,291
2008-03-17,361
2008-03-18,356
2008-03-19,354
2008-03-20,386
2008-03-21,281
2008-03-22,279
2008-03-23,246
2008-03-24,328
2008-03-25,365
2008-03-26,320
2008-03-27,377
2008-03-28,323
2008-03-29,262
2008-03-30,269
2008-03-31,363
2008-04-01,350
2008-04-02,375
2008-04-03,371
2008-04-04,346
2008-04-05,278
2008-04-06,280
2008-04-07,372
2008-04-08,342
2008-04-09,361
2008-04-10,338
2008-04-11,328
2008-04-12,288
2008-04-13,273
2008-04-14,371
2008-04-15,358
2008-04-16,382
2008-04-17,353
2008-04-18,304
2008-04-19,282
2008-04-20,267
2008-04-21,369
2008-04-22,361
2008-04-23,423
2008-04-24,398
2008-04-25,332
2008-04-26,303
2008-04-27,275
2008-04-28,380
2008-04-29,349
2008-04-30,341
2008-04-31,181
2008-05-01,350
2008-05-02,313
2008-05-03,263
2008-05-04,272
2008-05-05,364
2008-05-06,371
2008-05-07,371
2008-05-08,353
2008-05-09,332
2008-05-10,300
2008-05-11,278
2008-05-12,315
2008-05-13,360
2008-05-14,357
2008-05-15,335
2008-05-16,354
2008-05-17,300
2008-05-18,299
2008-05-19,316
2008-05-20,378
2008-05-21,378
2008-05-22,351
2008-05-23,308
2008-05-24,244
2008-05-25,252
2008-05-26,306
2008-05-27,365
2008-05-28,362
2008-05-29,347
2008-05-30,339
2008-05-31,271
2008-06-01,179
2008-06-02,178
2008-06-03,418
2008-06-04,394
2008-06-05,386
2008-06-06,351
2008-06-07,326
2008-06-08,268
2008-06-09,283
2008-06-10,365
2008-06-11,344
2008-06-12,344
2008-06-13,345
2008-06-14,336
2008-06-15,274
2008-06-16,245
2008-06-17,357
2008-06-18,374
2008-06-19,363
2008-06-20,414
2008-06-21,355
2008-06-22,265
2008-06-23,266
2008-06-24,412
2008-06-25,365
2008-06-26,411
2008-06-27,369
2008-06-28,364
2008-06-29,267
2008-06-30,265
2008-06-31,396
2008-07-02,434
2008-07-03,390
2008-07-04,330
2008-07-05,263
2008-07-06,261
2008-07-07,399
2008-07-08,386
2008-07-09,370
2008-07-10,350
2008-07-11,322
2008-07-12,258
2008-08-01,371
2008-08-02,254
2008-08-03,275
2008-08-04,365
2008-08-05,393
2008-08-06,387
2008-08-07,361
2008-08-08,310
2008-08-09,237
2008-08-10,270
2008-08-11,349
2008-08-12,373
2008-08-13,332
2008-08-14,336
2008-08-15,299
2008-08-16,251
2008-08-17,242
2008-08-18,367
2008-08-19,426
2008-08-20,360
2008-08-21,347
2008-08-22,336
2008-08-23,245
2008-08-24,246
2008-08-25,375
2008-08-26,376
2008-08-27,376
2008-08-28,331
2008-08-29,308
2008-08-30,246
2008-08-31,267
2008-09-01,307
2008-09-02,358
2008-09-03,353
2008-09-04,378
2008-09-05,342
2008-09-06,251
2008-09-07,259
2008-09-08,337
2008-09-09,352
2008-09-10,334
2008-09-11,383
2008-09-12,321
2008-09-13,254
2008-09-14,276
2008-09-15,342
2008-09-16,340
2008-09-17,355
2008-09-18,359
2008-09-19,349
2008-09-20,275
2008-09-21,259
2008-09-22,367
2008-09-23,396
2008-09-24,379
2008-09-25,377
2008-09-26,368
2008-09-27,253
2008-09-28,224
2008-09-29,262
2008-09-30,251
2008-09-31,171
2008-10-01,285
2008-10-02,273
2008-10-03,246
2008-10-04,207
2008-10-05,222
2008-10-06,270
2008-10-07,268
2008-10-08,255
2008-10-09,233
2008-10-10,236
2008-10-11,213
2008-10-12,219
2008-10-13,246
2008-10-14,250
2008-10-15,263
2008-10-16,247
2008-10-17,253
2008-10-18,236
2008-10-19,208
2008-10-20,243
2008-10-21,169
2008-10-22,169
2008-10-23,264
2008-10-24,284
2008-10-25,306
2008-10-26,300
2008-10-27,387
2008-10-28,422
2008-10-29,401
2008-10-30,390
2008-10-31,350
2008-11-01,249
2008-11-02,275
2008-11-03,360
2008-11-04,367
2008-11-05,319
2008-11-06,381
2008-11-07,363
2008-11-08,319
2008-11-09,313
2008-11-10,401
2008-11-11,378
2008-11-12,413
2008-11-13,398
2008-11-14,376
2008-11-15,272
2008-11-16,291
2008-11-17,400
2008-11-18,398
2008-11-19,413
2008-11-20,356
2008-11-21,382
2008-11-22,278
2008-11-23,282
2008-11-24,322
2008-11-25,361
2008-11-26,358
2008-11-27,297
2008-11-28,280
2008-11-29,284
2008-11-30,274
2008-11-31,166
2008-12-01,376
2008-12-02,353
2008-12-03,371
2008-12-04,373
2008-12-05,367
2008-12-06,260
2008-12-07,256
2008-12-08,327
2008-12-09,347
2008-12-10,313
2008-12-11,330
2008-12-12,316
2008-12-13,263
2008-12-14,326
2008-12-15,341
2008-12-16,332
2008-12-17,345
2008-12-18,340
2008-12-19,310
2008-12-20,232
2008-12-21,267
2008-12-22,289
2008-12-23,310
2008-12-24,236
2008-12-25,209
2008-12-26,243
2008-12-27,225
2008-12-28,223
2008-12-29,274
2008-12-30,305
2008-12-31,300
2009-01-01,220
2009-01-02,263
2009-01-03,265
2009-01-04,239
2009-01-05,339
2009-01-06,305
2009-01-07,338
2009-01-08,330
2009-01-09,292
2009-01-10,277
2009-01-11,256
2009-01-12,336
2009-01-13,363
2009-01-14,350
2009-01-15,338
2009-01-16,342
2009-01-17,253
2009-01-18,239
2009-01-19,357
2009-01-20,324
2009-01-21,360
2009-01-22,331
2009-01-23,295
2009-01-24,210
2009-01-25,199
2009-01-26,253
2009-01-27,310
2009-01-28,362
2009-01-29,305
2009-01-30,317
2009-01-31,264
2009-02-01,226
2009-02-02,273
2009-02-03,288
2009-02-04,272
2009-02-05,357
2009-02-06,364
2009-02-07,233
2009-02-08,204
2009-02-09,334
2009-02-10,399
2009-02-11,343
2009-02-12,335
2009-02-13,316
2009-02-14,257
2009-02-15,235
2009-02-16,306
2009-02-17,367
2009-02-18,368
2009-02-19,372
2009-02-20,364
2009-02-21,273
2009-02-22,268
2009-02-23,373
2009-02-24,367
2009-02-25,357
2009-02-26,393
2009-02-27,386
2009-02-28,271
2009-02-29,159
2009-02-30,159
2009-02-31,159
2009-03-01,262
2009-03-02,391
2009-03-03,417
2009-03-04,376
2009-03-05,343
2009-03-06,360
2009-03-07,280
2009-03-08,298
2009-03-09,338
2009-03-10,358
2009-03-11,371
2009-03-12,400
2009-03-13,399
2009-03-14,285
2009-03-15,290
2009-03-16,400
2009-03-17,382
2009-03-18,373
2009-03-19,350
2009-03-20,298
2009-03-21,219
2009-03-22,230
2009-03-23,408
2009-03-24,372
2009-03-25,379
2009-03-26,382
2009-03-27,367
2009-03-28,254
2009-03-29,245
2009-03-30,360
2009-03-31,405
2009-04-01,379
2009-04-02,390
2009-04-03,381
2009-04-04,272
2009-04-05,269
2009-04-06,440
2009-04-07,359
2009-04-08,393
2009-04-09,386
2009-04-10,329
2009-04-11,261
2009-04-12,261
2009-04-13,348
2009-04-14,369
2009-04-15,357
2009-04-16,350
2009-04-17,284
2009-04-18,260
2009-04-19,234
2009-04-20,363
2009-04-21,324
2009-04-22,246
2009-04-23,227
2009-04-24,223
2009-04-25,196
2009-04-26,226
2009-04-27,346
2009-04-28,355
2009-04-29,363
2009-04-30,294
2009-04-31,154
2009-05-01,248
2009-05-02,191
2009-05-03,199
2009-05-04,259
2009-05-05,326
2009-05-06,332
2009-05-07,344
2009-05-08,325
2009-05-09,260
2009-05-10,260
2009-05-11,263
2009-05-12,246
2009-05-13,296
2009-05-14,330
2009-05-15,312
2009-05-16,265
2009-05-17,282
2009-05-18,298
2009-05-19,278
2009-05-20,258
2009-05-21,238
2009-05-22,218
2009-05-23,192
2009-05-24,190
2009-05-25,217
2009-05-26,257
2009-05-27,228
2009-05-28,255
2009-05-29,255
2009-05-30,200
2009-05-31,195
2009-06-01,234
2009-06-02,261
2009-06-03,234
2009-06-04,254
2009-06-05,264
2009-06-06,200
2009-06-07,230
2009-06-08,447
2009-06-09,365
2009-06-10,318
2009-06-11,243
2009-06-12,220
2009-06-13,219
2009-06-14,224
2009-06-15,395
2009-06-16,402
2009-06-17,431
2009-06-18,389
2009-06-19,364
2009-06-20,268
2009-06-21,258
2009-06-22,422
2009-06-23,414
2009-06-24,349
2009-06-25,224
2009-06-26,231
2009-06-27,189
2009-06-28,206
2009-06-29,233
2009-06-30,250
2009-06-31,149
2009-07-01,280
2009-07-02,367
2009-07-03,287
2009-07-04,243
2009-07-05,255
2009-07-06,341
2009-07-07,371
2009-07-08,368
2009-07-09,334
2009-07-10,347
2009-07-11,251
2009-07-12,251
2009-07-13,415
2009-07-14,433
2009-07-15,382
2009-07-16,342
2009-07-17,335
2009-07-18,221
2009-07-19,248
2009-07-20,337
2009-07-21,357
2009-07-22,384
2009-07-23,425
2009-07-24,338
2009-07-25,248
2009-07-26,252
2009-07-27,339
2009-07-28,348
2009-07-29,347
2009-07-30,358
2009-07-31,326
2009-08-01,249
2009-08-02,286
2009-08-03,386
2009-08-04,378
2009-08-05,368
2009-08-06,399
2009-08-07,350
2009-08-08,243
2009-08-09,249
2009-08-10,400
2009-08-11,407
2009-08-12,392
2009-08-13,347
2009-08-14,370
2009-08-15,263
2009-08-16,245
2009-08-17,370
2009-08-18,381
2009-08-19,380
2009-08-20,446
2009-08-21,385
2009-08-22,235
2009-08-23,262
2009-08-24,367
2009-08-25,421
2009-08-26,390
2009-08-27,379
2009-08-28,325
2009-08-29,263
2009-08-30,272
2009-08-31,336
2009-09-01,372
2009-09-02,411
2009-09-03,403
2009-09-04,335
2009-09-05,258
2009-09-06,277
2009-09-07,292
2009-09-08,375
2009-09-09,392
2009-09-10,367
2009-09-11,346
2009-09-12,253
2009-09-13,276
2009-09-14,419
2009-09-15,419
2009-09-16,392
2009-09-17,393
2009-09-18,359
2009-09-19,251
2009-09-20,259
2009-09-21,389
2009-09-22,384
2009-09-23,143
2009-09-24,411
2009-09-25,143
2009-09-26,143
2009-09-27,143
2009-09-28,362
2009-09-29,385
2009-09-30,381
2009-10-01,361
2009-10-02,356
2009-10-03,256
2009-10-04,286
2009-10-05,358
2009-10-06,369
2009-10-07,381
2009-10-08,394
2009-10-09,356
2009-10-10,237
2009-10-11,264
2009-10-12,399
2009-10-13,414
2009-10-14,141
2009-10-15,141
2009-10-16,141
2009-10-17,278
2009-10-18,293
2009-10-19,389
2009-10-20,366
2009-10-21,380
2009-10-22,432
2009-10-23,409
2009-10-24,322
2009-10-25,320
2009-10-26,444
2009-10-27,384
2009-10-28,447
2009-10-29,417
2009-10-30,385
2009-10-31,266
