month,date,Epidural steroid injection,EBOO,Celacade,Chronotherapy (sleep phase),Bed rest,Anthrax immune globulin,Intraperitoneal injection,Graded exercise therapy,Heliox
200801,2008-01-01,483,5,2,17,1561,1101,10,2,26
200801,2008-01-02,896,4,8,26,2199,1648,29,3,55
200801,2008-01-03,962,4,4,28,2268,1613,18,4,58
200801,2008-01-04,942,8,8,16,2034,1558,20,6,51
200801,2008-01-05,794,2,3,27,1991,1274,19,3,45
200801,2008-01-06,682,6,4,22,2176,1465,15,1,36
200801,2008-01-07,1225,6,1,18,2210,2032,40,5,62
200801,2008-01-08,1276,9,3,28,2181,2167,42,5,63
200801,2008-01-09,1310,13,3,27,2157,2287,29,3,78
200801,2008-01-10,1268,6,1,36,2090,2007,36,3,77
200801,2008-01-11,1162,12,7,35,1783,2013,23,3,70
200801,2008-01-12,769,8,2,10,1938,1453,29,1,52
200801,2008-01-13,806,5,3,10,2192,1703,44,3,38
200801,2008-01-14,1265,7,7,28,2311,4617,50,6,73
200801,2008-01-15,1260,6,6,23,2130,2446,59,5,62
200801,2008-01-16,843,3,3,17,2115,2163,55,3,65
200801,2008-01-17,1048,9,8,26,2079,2045,36,13,87
200801,2008-01-18,1310,9,14,27,2001,1810,31,6,66
200801,2008-01-19,811,2,3,14,1842,1439,33,3,58
200801,2008-01-20,812,8,4,20,2016,1652,24,2,55
200801,2008-01-21,1315,7,8,32,2463,1860,26,4,71
200801,2008-01-22,1281,13,8,33,1933,2112,40,7,88
200801,2008-01-23,1267,6,10,22,2024,2180,47,7,85
200801,2008-01-24,1230,6,6,29,1821,2036,48,4,66
200801,2008-01-25,1141,8,4,28,1752,1940,31,6,57
200801,2008-01-26,828,6,7,23,1690,1485,24,7,49
200801,2008-01-27,893,8,2,30,2015,1769,38,2,50
200801,2008-01-28,1328,13,5,25,2298,2188,57,7,100
200801,2008-01-29,1338,6,7,37,2011,2200,56,8,76
200801,2008-01-30,1235,8,9,27,1956,2080,38,4,87
200802,2008-02-01,1099,7,5,16,1661,1925,12,5,91
200802,2008-02-02,827,3,1,13,1692,1512,36,0,37
200802,2008-02-03,851,3,3,13,1880,1697,40,10,62
200802,2008-02-04,1117,8,4,41,2052,2368,38,4,91
200802,2008-02-05,2970,7,4,51,2064,2752,37,9,80
200802,2008-02-06,1580,6,6,20,2037,2205,50,3,79
200802,2008-02-07,1277,3,6,32,1755,2164,29,2,66
200802,2008-02-08,1187,4,3,25,1757,1876,46,0,80
200802,2008-02-09,875,9,3,23,1705,1445,19,6,37
200802,2008-02-10,849,27,7,27,2064,1559,20,7,65
200802,2008-02-11,1216,10,6,22,2119,2408,41,5,81
200802,2008-02-12,1242,6,5,26,2093,2364,51,6,73
200802,2008-02-13,1204,4,9,24,2027,2279,42,6,96
200802,2008-02-14,1131,14,2,25,1894,2009,30,1,76
200802,2008-02-15,1086,6,4,13,1650,1922,46,7,57
200802,2008-02-16,816,7,1,8,1839,1330,25,1,60
200802,2008-02-17,894,10,7,10,2055,1669,22,1,62
200802,2008-02-18,1103,12,11,26,2407,2015,44,2,77
200802,2008-02-19,1366,5,4,26,2240,2327,37,11,74
200802,2008-02-20,1288,5,9,31,1874,2323,42,7,85
200802,2008-02-21,1271,7,15,35,1946,2337,45,5,87
200802,2008-02-22,1205,12,2,24,1912,2176,31,1,83
200802,2008-02-23,880,2,3,18,1876,1478,21,2,42
200802,2008-02-24,876,9,6,32,2137,1705,30,3,67
200802,2008-02-25,1264,5,2,28,2416,2314,58,7,96
200802,2008-02-26,1258,9,10,25,2201,2293,47,5,84
200802,2008-02-27,1250,3,5,41,2247,2454,47,4,68
200802,2008-02-28,0,0,0,0,0,0,0,0,0
200802,2008-02-29,944,3,8,28,1773,4630,39,2,71
200802,2008-02-30,0,0,0,0,0,0,0,0,0
200802,2008-02-31,0,0,0,0,0,0,0,0,0
200803,2008-03-01,0,0,0,0,0,0,0,0,0
200803,2008-03-02,838,11,6,32,2147,2471,25,5,66
200803,2008-03-03,0,0,0,0,0,0,0,0,0
200803,2008-03-04,0,0,0,0,0,0,0,0,0
200803,2008-03-05,1111,7,8,47,2028,2434,41,9,79
200803,2008-03-06,987,6,8,42,1972,2436,39,4,74
200803,2008-03-07,908,10,8,28,1756,2188,25,3,57
200803,2008-03-08,664,10,5,17,1701,1537,24,1,47
200803,2008-03-09,773,4,6,22,2038,1742,34,6,59
200803,2008-03-10,1050,9,2,93,2365,2213,53,3,97
200803,2008-03-11,1025,5,9,52,2169,2358,41,8,89
200803,2008-03-12,1045,20,5,49,2215,2303,62,7,78
200803,2008-03-13,1115,9,3,37,1954,2390,39,1,57
200803,2008-03-14,1023,8,8,27,2275,2130,37,2,99
200803,2008-03-15,633,11,12,23,1892,1618,17,14,65
200803,2008-03-16,676,9,8,28,2128,1761,29,2,58
200803,2008-03-17,987,4,5,21,2290,2205,42,4,70
200803,2008-03-18,1127,8,10,42,2015,2139,52,2,74
200803,2008-03-19,990,6,6,46,2070,2036,33,9,69
200803,2008-03-20,885,6,8,60,1839,1955,35,1,49
200803,2008-03-21,748,8,3,36,1880,1771,22,7,48
200803,2008-03-22,613,6,10,32,1797,1382,13,0,40
200803,2008-03-23,617,8,3,34,1882,1370,21,1,33
200803,2008-03-24,971,8,7,40,2354,2003,40,6,81
200803,2008-03-25,1064,8,8,29,2441,2150,50,1,62
200803,2008-03-26,1011,6,4,26,2358,2211,55,1,74
200803,2008-03-27,1051,9,8,30,2234,2202,64,7,71
200803,2008-03-28,948,7,3,33,2006,2157,36,2,74
200803,2008-03-29,641,10,5,20,2015,1656,40,3,41
200803,2008-03-30,685,5,2,18,2235,1751,27,4,66
200803,2008-03-31,1253,13,8,34,2468,2261,43,7,84
200804,2008-04-01,1177,9,7,30,2408,2407,55,5,76
200804,2008-04-02,1282,8,7,32,2147,2459,43,5,69
200804,2008-04-03,1174,9,8,22,2120,2417,56,3,74
200804,2008-04-04,1061,10,5,29,2021,2085,27,1,89
200804,2008-04-05,988,10,5,12,1965,1494,21,2,45
200804,2008-04-06,1073,3,3,29,2206,1746,32,4,70
200804,2008-04-07,1221,4,6,29,2484,2268,53,7,82
200804,2008-04-08,1266,12,5,27,2316,2426,69,51,79
200804,2008-04-09,1137,5,5,27,2301,2390,37,6,101
200804,2008-04-10,1096,1,4,33,2235,2236,54,2,113
200804,2008-04-11,942,10,4,35,2133,2054,45,9,80
200804,2008-04-12,666,7,0,16,2016,1599,32,7,67
200804,2008-04-13,806,4,3,33,2416,1870,42,3,72
200804,2008-04-14,1069,3,13,27,2766,2388,60,2,89
200804,2008-04-15,1078,7,10,34,2608,2604,63,16,102
200804,2008-04-16,1144,10,7,34,2496,2810,60,6,98
200804,2008-04-17,1047,6,4,28,2419,2629,46,8,89
200804,2008-04-18,957,6,4,31,2126,2173,52,7,87
200804,2008-04-19,735,12,1,21,2401,1474,32,6,43
200804,2008-04-20,891,2,2,29,2687,1768,23,5,56
200804,2008-04-21,1541,8,2,25,2981,2357,50,2,81
200804,2008-04-22,1572,4,0,31,2723,2591,45,2,81
200804,2008-04-23,1494,6,4,47,2523,2462,63,5,71
200804,2008-04-24,1482,0,4,24,2432,2470,64,6,80
200804,2008-04-25,1289,8,1,25,2422,2124,59,5,66
200804,2008-04-26,747,6,4,22,2190,1496,30,3,59
200804,2008-04-27,702,4,2,24,2402,2016,49,4,71
200804,2008-04-28,1114,10,6,46,2782,2417,62,9,109
200804,2008-04-29,1094,6,6,34,2891,2367,77,3,75
200804,2008-04-30,1113,7,5,49,2556,2320,59,8,82
200804,2008-04-31,0,0,0,0,0,0,0,0,0
200805,2008-05-01,1048,6,3,27,2343,2164,47,0,70
200805,2008-05-02,949,11,10,23,2478,1960,50,4,82
200805,2008-05-03,718,2,2,26,2272,1426,34,5,50
200805,2008-05-04,719,6,0,24,2474,1754,36,6,51
200805,2008-05-05,956,8,5,30,3070,2271,66,6,74
200805,2008-05-06,1158,8,5,22,2896,2695,60,8,90
200805,2008-05-07,1138,14,3,31,2609,2232,70,7,120
200805,2008-05-08,1225,17,6,28,2567,2356,64,8,63
200805,2008-05-09,1431,34,6,47,2410,2054,52,9,85
200805,2008-05-10,895,20,6,17,2066,1391,44,3,40
200805,2008-05-11,852,3,4,21,2142,1643,41,1,55
200805,2008-05-12,1210,4,5,46,2736,2188,64,4,83
200805,2008-05-13,1256,5,6,41,2696,2341,77,11,79
200805,2008-05-14,1283,10,2,27,2625,2381,72,5,76
200805,2008-05-15,1411,10,3,22,2561,2327,99,8,97
200805,2008-05-16,1126,7,4,21,2434,1996,66,7,80
200805,2008-05-17,752,4,3,13,2222,1463,41,5,54
200805,2008-05-18,755,6,6,18,2696,1706,49,2,49
200805,2008-05-19,1248,6,4,24,2943,2102,68,3,71
200805,2008-05-20,1221,8,8,33,2915,2412,83,4,76
200805,2008-05-21,1366,7,10,26,2721,2422,79,5,83
200805,2008-05-22,1088,10,3,36,2874,2284,65,9,74
200805,2008-05-23,1096,11,7,25,2635,2025,50,1,82
200805,2008-05-24,769,15,3,15,2435,1377,29,4,61
200805,2008-05-25,779,12,4,21,2512,1586,57,2,45
200805,2008-05-26,964,13,4,26,3108,1818,69,3,50
200805,2008-05-27,1173,13,6,34,2788,2415,65,5,66
200805,2008-05-28,1217,17,6,26,2875,2291,84,6,80
200805,2008-05-29,1317,8,4,19,2723,2364,72,3,96
200805,2008-05-30,1056,7,4,19,2783,1893,52,5,83
200805,2008-05-31,793,7,4,20,2648,1496,41,3,46
200806,2008-06-01,0,0,0,0,0,0,0,0,0
