date,egfr,iressa,lung,month,tar
2008-01-01,64,40,1357,200801,47
2008-01-02,156,81,2205,200801,133
2008-01-03,213,100,2728,200801,118
2008-01-04,174,89,2582,200801,108
2008-01-05,87,53,1885,200801,72
2008-01-06,107,58,2128,200801,57
2008-01-07,244,88,2837,200801,120
2008-01-08,229,90,3124,200801,144
2008-01-09,216,126,3327,200801,127
2008-01-10,251,127,3260,200801,150
2008-01-11,208,112,3531,200801,145
2008-01-12,131,53,2001,200801,97
2008-01-13,120,60,2270,200801,71
2008-01-14,219,127,3542,200801,160
2008-01-15,235,119,3330,200801,167
2008-01-16,238,94,3297,200801,166
2008-01-17,264,119,3379,200801,147
2008-01-18,200,102,3045,200801,164
2008-01-19,126,76,1869,200801,97
2008-01-20,112,64,2183,200801,70
2008-01-21,220,118,3102,200801,146
2008-01-22,227,88,3366,200801,140
2008-01-23,265,126,3418,200801,148
2008-01-24,303,108,3467,200801,146
2008-01-25,235,109,2910,200801,124
2008-01-26,130,52,2095,200801,87
2008-01-27,137,87,2246,200801,89
2008-01-28,212,132,3182,200801,179
2008-01-29,239,122,3678,200801,149
2008-01-30,239,124,3471,200801,158
2008-02-01,213,86,3045,200802,127
2008-02-02,137,52,1968,200802,63
2008-02-03,160,70,2055,200802,68
2008-02-04,213,114,3176,200802,160
2008-02-05,235,117,3496,200802,143
2008-02-06,254,143,3391,200802,139
2008-02-07,219,106,3342,200802,141
2008-02-08,194,76,3030,200802,104
2008-02-09,111,62,2038,200802,70
2008-02-10,130,55,2226,200802,90
2008-02-11,223,126,3584,200802,141
2008-02-12,303,142,3736,200802,166
2008-02-13,233,127,3456,200802,159
2008-02-14,315,137,3453,200802,172
2008-02-15,188,143,2954,200802,142
2008-02-16,117,64,1970,200802,95
2008-02-17,152,68,2215,200802,84
2008-02-18,283,113,3259,200802,140
2008-02-19,296,156,3792,200802,157
2008-02-20,293,128,3857,200802,159
2008-02-21,271,138,3763,200802,158
2008-02-22,231,119,3344,200802,138
2008-02-23,135,81,2141,200802,97
2008-02-24,132,95,2536,200802,102
2008-02-25,313,166,3761,200802,182
2008-02-26,305,145,4042,200802,169
2008-02-27,278,151,3841,200802,165
2008-02-28,0,0,0,200802,0
2008-02-29,244,134,3185,200802,170
2008-02-30,0,0,0,200802,0
2008-02-31,0,0,0,200802,0
2008-03-01,0,0,0,200803,0
2008-03-02,213,126,2582,200803,102
2008-03-03,0,0,0,200803,0
2008-03-04,0,0,0,200803,0
